# frequency_cm-1 intensity
  475.108706 1.738795265231e-03
  476.083262 2.026609878489e-03
  477.057819 2.338872597876e-03
  478.032376 2.674554397687e-03
  479.006932 3.032936601411e-03
  479.981489 3.414070649805e-03
  480.956046 3.819303428154e-03
  481.930602 4.251826587034e-03
  482.905159 4.717193449998e-03
  483.879716 5.223734952857e-03
  484.854272 5.782798808779e-03
  485.828829 6.408735880208e-03
  486.803386 7.118566331994e-03
  487.777942 7.931276611364e-03
  488.752499 8.866726708126e-03
  489.727056 9.944184288366e-03
  490.701612 1.118054556718e-02
  491.676169 1.258834823294e-02
  492.650726 1.417372428625e-02
  493.625283 1.593447459160e-02
  494.599839 1.785846655806e-02
  495.574396 1.992255678774e-02
  496.548953 2.209221854699e-02
  497.523509 2.432200873408e-02
  498.498066 2.655694278774e-02
  499.472623 2.873476394287e-02
  500.447179 3.078900342450e-02
  501.421736 3.265264061845e-02
  502.396293 3.426209781768e-02
  503.370849 3.556125300209e-02
  504.345406 3.650513425018e-02
  505.319963 3.706297523777e-02
  506.294519 3.722036281943e-02
  507.269076 3.698029012312e-02
  508.243633 3.636303279314e-02
  509.218189 3.540487964997e-02
  510.192746 3.415585820254e-02
  511.167303 3.267668666051e-02
  512.141860 3.103524621497e-02
  513.116416 2.930289322793e-02
  514.090973 2.755091845136e-02
  515.065530 2.584741263633e-02
  516.040086 2.425472283175e-02
  517.014643 2.282759281212e-02
  517.989200 2.161198775495e-02
  518.963756 2.064452071971e-02
  519.938313 1.995233783229e-02
  520.912870 1.955328791779e-02
  521.887426 1.945620360117e-02
  522.861983 1.966115262030e-02
  523.836540 2.015957373218e-02
  524.811096 2.093428108715e-02
  525.785653 2.195939224987e-02
  526.760210 2.320029590979e-02
  527.734766 2.461381510367e-02
  528.709323 2.614873301712e-02
  529.683880 2.774682800702e-02
  530.658437 2.934451409673e-02
  531.632993 3.087510920091e-02
  532.607550 3.227166589201e-02
  533.582107 3.347021114072e-02
  534.556663 3.441316521844e-02
  535.531220 3.505265754606e-02
