# frequency_cm-1 intensity
  537.480333 3.529509336575e-02
  538.454890 3.487335032416e-02
  539.429447 3.410029029258e-02
  540.404003 3.300345198155e-02
  541.378560 3.162386889465e-02
  542.353117 3.001321199788e-02
  543.327673 2.823028748796e-02
  544.302230 2.633719714019e-02
  545.276787 2.439549138810e-02
  546.251343 2.246263242579e-02
  547.225900 2.058903933244e-02
  548.200457 1.881591635711e-02
  549.175014 1.717397853342e-02
  550.149570 1.568309638604e-02
  551.124127 1.435279408299e-02
  552.098684 1.318346194466e-02
  553.073240 1.216809130445e-02
  554.047797 1.129431098056e-02
  555.022354 1.054650070851e-02
  555.996910 9.907775718028e-03
  556.971467 9.361673954104e-03
  557.946024 8.893427522505e-03
  558.920580 8.490756382438e-03
  559.895137 8.144178764292e-03
  560.869694 7.846883590439e-03
  561.844250 7.594250811675e-03
  562.818807 7.383132993514e-03
  563.793364 7.211024244967e-03
  564.767920 7.075240801310e-03
  565.742477 6.972222790234e-03
  566.717034 6.897041614249e-03
  567.691591 6.843165459835e-03
  568.666147 6.802500594103e-03
  569.640704 6.765692235334e-03
  570.615261 6.722639406025e-03
  571.589817 6.663156103805e-03
  572.564374 6.577698201454e-03
  573.538931 6.458072451616e-03
  574.513487 6.298050437080e-03
  575.488044 6.093824862203e-03
  576.462601 5.844266003750e-03
  577.437157 5.550959699885e-03
  578.411714 5.218032063994e-03
  579.386271 4.851787468651e-03
  580.360827 4.460203061925e-03
  581.335384 4.052333694753e-03
  582.309941 3.637685049667e-03
  583.284497 3.225610217045e-03
  584.259054 2.824776955719e-03
  585.233611 2.442740930627e-03
  586.208168 2.085646157467e-03
  587.182724 1.758059540239e-03
  588.157281 1.462933383343e-03
  589.131838 1.201679323554e-03
  590.106394 9.743299945622e-04
  591.080951 7.797611334644e-04
  592.055508 6.159465359749e-04
  593.030064 4.802206896765e-04
  594.004621 3.695282769649e-04
  594.979178 2.806451857997e-04
  595.953734 2.103613931362e-04
  596.928291 1.556214310340e-04
  597.902848 1.136226402936e-04
  598.877404 8.187479968783e-05
  599.851961 5.822691904751e-05
  600.826518 4.086808185976e-05
  601.801074 2.830940050464e-05
  602.775631 1.935364062057e-05
  603.750188 1.305812585565e-05
  604.724745 8.695373248273e-06
  605.699301 5.714712722887e-06
  606.673858 3.707040421318e-06
  607.648415 2.373922962342e-06
  608.622971 1.501542792452e-06
  609.597528 9.394548327794e-07
  610.572085 5.837907425336e-07
  611.546641 3.643663586635e-07
  612.521198 2.350833290593e-07
  613.495755 1.670324512002e-07
  614.470311 1.437736696260e-07
  615.444868 1.583625274547e-07
  616.419425 2.117981740147e-07
  617.393981 3.126726993574e-07
  618.368538 4.778991695032e-07
  619.343095 7.344833510692e-07
  620.317651 1.122381386365e-06
  621.292208 1.698554262987e-06
  622.266765 2.542393325547e-06
  623.241322 3.762754867581e-06
  624.215878 5.506914017086e-06
  625.190435 7.971839386632e-06
  626.164992 1.141831344986e-05
  627.139548 1.618859368423e-05
  628.114105 2.272853895888e-05
  629.088662 3.161542089259e-05
  630.063218 4.359299418665e-05
  631.037775 5.961578453868e-05
  632.012332 8.090490746341e-05
  632.986888 1.090179560120e-04
  633.961445 1.459354452231e-04
  634.936002 1.941657895403e-04
  635.910558 2.568696017676e-04
  636.885115 3.380020238325e-04
  637.859672 4.424686597760e-04
  638.834228 5.762864103399e-04
  639.808785 7.467352037417e-04
  640.783342 9.624806071093e-04
  641.757899 1.233641193928e-03
  642.732455 1.571769231861e-03
  643.707012 1.989709891720e-03
  644.681569 2.501304060330e-03
  645.656125 3.120904242981e-03
  646.630682 3.862682986273e-03
  647.605239 4.739729241665e-03
  648.579795 5.762949848440e-03
  649.554352 6.939819591175e-03
  650.528909 8.273051773601e-03
  651.503465 9.759288668918e-03
  652.478022 1.138793358701e-02
  653.452579 1.314025945456e-02
  654.427135 1.498892895349e-02
  655.401692 1.689804571872e-02
  656.376249 1.882382390813e-02
  657.350805 2.071591587971e-02
  658.325362 2.251937837891e-02
  659.299919 2.417719237733e-02
  660.274476 2.563318793421e-02
